title,description,genres,emotions,emojis
This Is Pop,"Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene, Auto-Tune, boy bands and more.","['music', 'documentation']","[nostalgia, curiosity, fascination, appreciation, surprise, inspiration, amusement, reflection]",🎶🎤🎸🔍🎵🤔👀😄
"Alexandria, Again and Forever","Set in 1987 against the backdrop of a hunger strike by the Egyptian film industry, Chahine himself steps in to play Yehia, the famed Egyptian director whose life is chronicled in ""Alexandria, Why?"" and ""An Egyptian Story"". Obsessed with Amr, the handsome actor he discovered and cast as his alter-ego in parts one and two of The Alexandria Trilogy, Yehia pressures Amr to star in various film projects that change even as Yehia's perception of the young actor begins to change. He first casts Amr as Hamlet, which the actor deems too demanding for his talents, then as the lead in a musical biopic of demigod Alexander the Great, who founded the city of Alexandria in 332 B.C.",['drama'],"[intrigue, obsession, nostalgia, uncertainty, creativity, admiration, reflection, curiosity]",🎥🎞️🎭🌟🔍🤔⏳✨
Divines,"In a ghetto where religion and drug trafficking rub shoulders, Dounia has a lust for power and success. Supported by Maimouna, her best friend, she decides to follow in the footsteps of Rebecca, a respected dealer. But her encounter with Djigui, a young, disturbingly sensual dancer, throws her off course.","['drama', 'crime', 'european']","[ambition, intrigue, temptation, rebellion, desire, conflict, betrayal, redemption]",💪🏽💰🔥💃🏽🔀🚬🗝️💔
Triad Princess,A woman who grows up in the shadow of her mafia-affiliated father. She defies his wishes and takes a gig as an undercover bodyguard for a famous actress.,"['drama', 'comedy']","['drama', 'comedy', 'intrigue', 'romance', 'conflict', 'empowerment', 'suspense', 'surprise']",🕵️‍♀️👑👊🎭🔫🎬💔❤️🔥
The Amazing Praybeyt Benjamin,A soldier who once saved the entire country is assigned to guard a genius child whose intellect is needed to foil the plans of an evil villain.,"['drama', 'comedy', 'action', 'fantasy', 'romance']","[humor, suspense, patriotism, love, thrill, hope, amazement, inspiration]",🤣🔫🇵🇭🧠🦹‍♂️👶❤️🎢
Henry Danger,"When 13-year-old Henry Hart lands a job as Danger, the sidekick-in-training to superhero Captain Man, he must learn to navigate a double life balancing the challenges of 8th grade with the crazy adventures of a real-life crime fighter!","['comedy', 'family', 'action', 'scifi', 'thriller', 'drama']","[humor, suspense, excitement, empowerment, nostalgia, curiosity, camaraderie, determination]",🕵️‍♂️👨‍👦👊
Dancing on Glass,"When immense pressure threatens a ballerina in a new lead role, she and another dancer escape into a friendship that isolates them from the real world.","['drama', 'thriller']","[tension, suspense, empathy, friendship, isolation, ambition, determination, vulnerability]",💃🎭🌟🌍🔒
My Mister,"In a world that is less than kind, a young woman and a middle-aged man develop a sense of kinship as they find warmth and comfort in one another.","['drama', 'family']","[compassion, empathy, hope, warmth, solidarity, melancholy, optimism, resilience]",👩‍❤️‍👨🌸🌞🌈🌼💔💪🌻
The George McKenna Story,"Washington plays a school principal in a tough inner city Los Angeles high school out to rid it of drugs, gangs, low moral of teachers, and restore educational values.",['drama'],"[inspiration, determination, hope, empowerment, frustration, anger, compassion, triumph]",🏫🔥👨‍🏫💪🚫💊🔫😡
Wormwood,"In this genre-bending tale, Errol Morris explores the mysterious death of a U.S. scientist entangled in a secret Cold War program known as MK-Ultra.","['crime', 'documentation', 'drama', 'fantasy']","intrigue, suspense, curiosity, skepticism, confusion, paranoia, fascination, unease",🕵️‍♂️🔍🤔🕳️🔬🕵️‍♀️🧠🌐
